Municipio,Ano,Area
Carmo_da_Cachoeira,2012,10300
Carmo_da_Cachoeira,2013,13300
Carmo_da_Cachoeira,2014,13380
Carmo_da_Cachoeira,2015,12600
Carmo_da_Cachoeira,2016,13060
Carmo_da_Cachoeira,2017,10030
Carmo_da_Cachoeira,2018,11000
Carmo_da_Cachoeira,2019,10510
Carmo_da_Cachoeira,2020,11000
Carmo_da_Cachoeira,2021,10080
Carmo_da_Cachoeira,2022,8500
Carmo_da_Cachoeira,2023,10300
Carmo_da_Cachoeira,2024,12000
Carmo_da_Mata,2012,735
Carmo_da_Mata,2013,915
Carmo_da_Mata,2014,915
Carmo_da_Mata,2015,900
Carmo_da_Mata,2016,950
Carmo_da_Mata,2017,810
Carmo_da_Mata,2018,900
Carmo_da_Mata,2019,820
Carmo_da_Mata,2020,850
Carmo_da_Mata,2021,850
Carmo_da_Mata,2022,850
Carmo_da_Mata,2023,850
Carmo_da_Mata,2024,900
Carmo_de_Minas,2012,4445
Carmo_de_Minas,2013,4145
Carmo_de_Minas,2014,3345
Carmo_de_Minas,2015,3745
